zip_code_tabulation_area,City,State,County,DMA
01097,Woronoco,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01098,Worthington,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01101,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01102,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01103,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01104,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01105,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01106,Longmeadow,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01107,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01108,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01109,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01111,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01114,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01115,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01116,Longmeadow,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01118,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01119,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01128,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01129,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01133,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01138,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01139,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01144,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01151,Indian Orchard,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01152,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01199,Springfield,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01201,Pittsfield,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01202,Pittsfield,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01203,Pittsfield,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01220,Adams,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01222,Ashley Falls,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01223,Becket,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01224,Berkshire,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01225,Cheshire,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01226,Dalton,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01227,Dalton,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01229,Glendale,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01230,Great Barrington,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01235,Hinsdale,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01236,Housatonic,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01237,Lanesboro,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01238,Lee,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01240,Lenox,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01242,Lenox Dale,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01243,Middlefield,MA,Hampshire,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01244,Mill River,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01245,Monterey,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01247,North Adams,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01252,North Egremont,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01253,Otis,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01254,Richmond,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01255,Sandisfield,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01256,Savoy,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01257,Sheffield,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01258,South Egremont,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01259,Southfield,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01260,South Lee,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01262,Stockbridge,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01263,Stockbridge,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01264,Tyringham,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01266,West Stockbridge,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01267,Williamstown,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01270,Windsor,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01301,Greenfield,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01302,Greenfield,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01330,Ashfield,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01331,Athol,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01337,Bernardston,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01338,Buckland,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01339,Charlemont,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01340,Colrain,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01341,Conway,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01342,Deerfield,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01343,Drury,MA,Berkshire,"ALBANY SCHENECTADY TROY, NEW YORK"
01344,Erving,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01346,Heath,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01347,Lake Pleasant,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01349,Turners Falls,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01350,Monroe Bridge,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01351,Montague,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01354,Northfield,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01355,New Salem,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01360,Northfield,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01364,Orange,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01366,Petersham,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01367,Rowe,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01368,Royalston,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01369,Shattuckville,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01370,Shelburne Falls,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01373,South Deerfield,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01375,Sunderland,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01376,Turners Falls,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01378,Warwick,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01379,Wendell,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01380,Wendell Depot,MA,Franklin,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01420,Fitchburg,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01430,Ashburnham,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01431,Ashby,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01432,Ayer,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01436,Baldwinville,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01438,East Templeton,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01440,Gardner,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01441,Westminster,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01450,Groton,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01451,Harvard,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01452,Hubbardston,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01453,Leominster,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01460,Littleton,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01462,Lunenburg,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01463,Pepperell,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01464,Shirley,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01467,Still River,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01468,Templeton,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01469,Townsend,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01470,Groton,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01471,Groton,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01472,West Groton,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01473,Westminster,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01474,West Townsend,MA,Middlesex,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01475,Winchendon,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01477,Winchendon Springs,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01501,Auburn,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01503,Berlin,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01504,Blackstone,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01505,Boylston,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01506,Brookfield,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01507,Charlton,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01508,Charlton City,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01509,Charlton Depot,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01510,Clinton,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01515,East Brookfield,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01516,Douglas,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01517,East Princeton,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01518,Fiskdale,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01519,Grafton,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01520,Holden,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01521,Holland,MA,Hampden,"SPRINGFIELD HOLYOKE, MASSACHUSETTS"
01522,Jefferson,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01523,Lancaster,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01524,Leicester,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
01525,Linwood,MA,Worcester,"BOSTON MANCHESTER, MASSACHUSETTS ~ NEW HAMPSHIRE"
